carat,cut,color,clarity,depth,table,price,x,y,z
1.75,Ideal,J,VS2,62.1,57,9663,7.71,7.66,4.77
0.79,Very Good,H,VS1,63.7,56,2784,5.85,5.92,3.75
0.72,Ideal,E,VS2,61.1,56,3601,5.78,5.81,3.54
1.01,Good,D,VS1,62.2,62,7303,6.29,6.41,3.95
1.09,Ideal,G,VVS2,62.5,56,8282,6.54,6.58,4.1
0.52,Good,E,SI2,60.5,62,1199,5.15,5.2,3.13
1.15,Ideal,H,VS2,62.6,57,5989,6.75,6.69,4.21
0.7,Very Good,F,VS2,61,59,2362,5.69,5.75,3.49
1.28,Premium,I,SI1,62.6,55,6093,6.97,6.93,4.35
1.01,Fair,E,SI1,64.7,59,4181,6.23,6.11,3.99
1.02,Very Good,E,SI2,59.6,59,4398,6.54,6.59,3.91
0.72,Good,J,SI1,60.1,64,1663,5.83,5.75,3.48
0.52,Very Good,G,SI1,59.4,60,1267,5.23,5.28,3.12
0.9,Very Good,F,VS2,64.2,59,4268,6.07,6.11,3.91
0.9,Very Good,H,SI1,62.3,63,3447,6.06,6.13,3.8
0.37,Ideal,E,SI1,62.7,54,833,4.6,4.55,2.87
0.63,Premium,E,VS2,62.4,59,2344,5.5,5.46,3.42
2.02,Very Good,F,SI1,62.8,59,15987,7.9,7.98,4.99
0.83,Premium,E,SI2,62,61,2544,6.05,5.98,3.73
0.39,Premium,D,VVS2,61.1,60,1290,4.7,4.66,2.86
0.5,Premium,G,SI1,62.8,61,1286,5.01,4.99,3.14
0.51,Very Good,F,SI1,62.5,59,1203,5.08,5.1,3.18
1.07,Premium,G,VVS2,61.6,57,7593,6.59,6.55,4.05
0.9,Fair,D,SI1,66.1,55,3945,5.98,5.92,3.93
1.5,Good,F,VS2,58.6,64,13160,7.52,7.46,4.39
0.72,Very Good,F,VS2,61.6,58,3238,5.75,5.78,3.55
2.5,Ideal,J,SI2,63.8,53,15246,8.56,8.5,5.45
1.5,Very Good,I,VS2,59.4,61,9342,7.41,7.45,4.41
0.5,Good,E,VS2,63.8,54,1752,5.05,5.07,3.23
0.31,Good,F,VS2,63.5,55,583,4.31,4.32,2.74
0.43,Ideal,D,VS1,62.1,55,1207,4.83,4.86,3.01
0.4,Premium,E,SI2,61.4,57,855,4.74,4.68,2.89
0.66,Good,G,VS1,59,62,2055,5.66,5.72,3.35
1.2,Good,I,VS1,61.7,62,5818,6.65,6.74,4.13
1.51,Very Good,F,VVS2,61.9,58,16716,7.3,7.36,4.54
1.02,Good,E,SI2,62.8,64,3838,6.36,6.32,3.98
0.71,Good,H,SI1,63.4,54,2056,5.6,5.67,3.57
0.72,Ideal,E,VVS2,61.7,55,4927,5.76,5.78,3.56
0.39,Ideal,G,VVS1,61.8,54.4,1008,4.69,4.73,2.92
0.74,Ideal,H,VVS1,61.1,56,3804,5.84,5.91,3.59
0.55,Good,F,VS2,62.8,63,1563,5.13,5.19,3.24
1,Fair,J,VS2,65.7,59,2811,6.14,6.07,4.01
0.34,Ideal,E,SI1,61.9,55,565,4.51,4.53,2.8
2.03,Ideal,J,VS2,62.1,57,13880,8.15,8.08,5.04
0.3,Good,F,VS1,63.7,56,731,4.28,4.26,2.72
0.71,Ideal,D,SI1,60.8,57,3502,5.75,5.78,3.5
1.01,Premium,F,VS2,62.1,60,5988,6.36,6.43,3.97
0.71,Ideal,H,VVS1,61.8,56,3014,5.7,5.75,3.54
2.22,Premium,I,VS2,60.5,59,14662,8.41,8.37,5.08
1.51,Good,E,SI1,65.5,56,9539,7.12,7.16,4.68
0.23,Very Good,D,VS1,62.4,56,468,3.93,3.98,2.46
0.51,Ideal,D,VS2,61.9,55,1716,5.19,5.15,3.2
1.11,Ideal,H,SI2,63.5,60,4538,6.58,6.49,4.15
1.08,Very Good,D,VS1,60.5,58,8513,6.53,6.63,3.98
0.42,Premium,F,VS2,61.9,58,945,4.8,4.76,2.96
0.42,Ideal,H,VS2,62.9,56,992,4.79,4.72,2.99
0.4,Very Good,F,SI1,59.6,58,694,4.81,4.82,2.87
0.41,Good,H,VS2,64.1,57,917,4.72,4.64,3
0.58,Very Good,J,VS2,62.9,58,1266,5.3,5.32,3.34
0.56,Ideal,G,VS1,62.2,55,1915,5.31,5.27,3.29
0.51,Premium,E,SI1,62.9,57,1402,5.11,5.06,3.2
1.16,Very Good,G,VS1,62.9,55,7589,6.65,6.74,4.21
0.9,Very Good,H,SI1,62.8,57,3437,6.14,6.18,3.87
1.52,Ideal,H,VS2,61.9,55,11379,7.38,7.43,4.58
0.71,Fair,G,SI2,65.6,56,1691,5.54,5.49,3.63
0.52,Ideal,H,SI1,61.9,56,1098,5.16,5.22,3.2
1.51,Very Good,G,SI1,59.6,60,10576,7.42,7.45,4.43
1.02,Ideal,H,SI1,63,57,4233,6.36,6.3,3.99
0.29,Ideal,G,VS1,61.9,55,532,4.25,4.28,2.64
2.02,Fair,H,SI2,56.5,61,14080,8.33,8.37,4.72
0.7,Good,E,VS2,60.1,62,2606,5.77,5.74,3.46
0.4,Ideal,F,VS1,61.8,55,971,4.76,4.78,2.95
1,Very Good,D,SI1,60.5,58,5755,6.42,6.48,3.9
0.84,Very Good,G,SI2,62.8,57,3015,6,6.04,3.78
0.52,Ideal,I,VS2,61.8,54,1152,5.16,5.2,3.2
0.91,Premium,E,VS1,62.9,56,5228,6.21,6.13,3.88
1.08,Premium,G,SI2,62.9,59,4627,6.57,6.53,4.12
0.77,Good,H,VVS1,63.1,57,3096,5.83,5.86,3.69
0.51,Ideal,G,SI1,61.5,55.5,1254,5.13,5.19,3.17
0.31,Very Good,G,VVS1,62.6,61,816,4.28,4.31,2.69
1.2,Very Good,G,SI2,61.2,59,4712,6.78,6.84,4.17
0.3,Premium,D,SI1,61.6,58,709,4.32,4.29,2.65
0.37,Premium,G,SI1,62.1,60,708,4.61,4.54,2.84
0.5,Ideal,D,VS2,61.7,53,1678,5.14,5.16,3.18
0.3,Good,I,SI1,63.2,55,405,4.25,4.29,2.7
0.29,Very Good,E,VVS2,60.9,57,674,4.29,4.32,2.62
0.38,Ideal,H,SI1,61.2,56,697,4.7,4.74,2.89
2.49,Premium,I,SI2,61.2,56,18325,8.76,8.7,5.34
0.71,Premium,F,SI2,60.6,58,2363,5.77,5.72,3.48
0.73,Ideal,F,VVS1,61.1,56,4171,5.83,5.86,3.57
0.3,Premium,H,SI1,61.2,60,540,4.31,4.29,2.63
0.3,Very Good,G,VS1,62.5,59,629,4.32,4.25,2.68
0.5,Very Good,D,VS2,63.3,58,1602,5.03,5.05,3.19
0.58,Ideal,F,SI2,62,57,1332,5.35,5.32,3.31
1.04,Premium,I,SI2,61.6,56,3960,6.56,6.49,4.02
1.16,Premium,G,VS2,59.9,60,7203,6.88,6.85,4.11
2.04,Premium,I,VS2,62.5,58,17028,8.22,8.09,5.1
0.41,Ideal,E,VVS1,61.9,55,1431,4.79,4.78,2.96
0.32,Good,D,SI1,63.3,57,589,4.37,4.38,2.77
0.31,Very Good,E,VS2,62.9,57,680,4.3,4.35,2.72
0.4,Premium,G,VVS2,61.7,59,1050,4.76,4.73,2.93
2.3,Ideal,G,SI2,61.4,57,14744,8.51,8.48,5.22
1.03,Ideal,F,VS1,59,55,7613,6.62,6.67,3.92
1.17,Ideal,F,SI1,61.1,56,6828,6.77,6.82,4.15
1.56,Ideal,H,SI1,62.1,56,10739,7.44,7.46,4.63
0.3,Ideal,H,IF,61.8,55,789,4.3,4.31,2.66
1.5,Very Good,E,SI2,60.1,60,9281,7.35,7.42,4.44
1.03,Ideal,H,SI1,59.7,55,4585,6.6,6.64,3.95
0.37,Premium,D,VVS2,60.7,59,971,4.63,4.66,2.82
0.7,Very Good,G,VS1,62.3,58,2631,5.63,5.67,3.52
0.9,Very Good,I,VS2,61.4,58,3445,6.16,6.26,3.81
0.4,Premium,H,SI1,62.6,58,855,4.72,4.68,2.94
0.9,Very Good,H,SI1,62.8,58,3437,6.13,6.16,3.86
0.72,Very Good,F,VVS2,63.6,59,3420,5.65,5.7,3.61
1.26,Very Good,I,VS1,61.8,61,6566,6.9,6.95,4.28
0.32,Ideal,G,SI1,62.3,57,508,4.38,4.41,2.74
1,Premium,H,SI2,60.2,61,3920,6.48,6.44,3.89
0.31,Premium,G,VVS2,62.2,59,907,4.36,4.32,2.7
0.3,Ideal,G,VS2,61.6,58,545,4.27,4.3,2.64
1,Premium,F,SI1,62.1,59,5060,6.36,6.39,3.96
0.82,Ideal,D,SI2,62.1,57,3357,6.04,6,3.74
2.01,Very Good,I,VS1,59.8,63,17068,8.14,8.11,4.86
1.05,Premium,F,SI1,61.8,56,5557,6.55,6.45,4.02
0.74,Premium,D,VS2,59.3,60,3353,5.89,5.91,3.5
1.54,Premium,G,SI1,61.3,59,10219,7.41,7.38,4.53
1.1,Ideal,G,VS2,62.3,56,6387,6.63,6.59,4.12
0.56,Premium,F,SI2,60.2,58,1715,5.36,5.33,3.22
0.67,Ideal,G,VVS1,62.4,55,2577,5.6,5.62,3.5
0.36,Ideal,G,VVS1,62.8,57,1053,4.55,4.52,2.85
1.24,Premium,I,VS2,60.1,59,5889,7.02,6.95,4.2
1.7,Premium,I,VVS2,62.1,59,11775,7.6,7.53,4.7
0.91,Ideal,E,SI2,62.7,57,3756,6.19,6.26,3.9
0.43,Ideal,F,SI1,61.3,56,739,4.86,4.9,2.99
1.02,Ideal,H,VVS2,62,56,6613,6.42,6.45,3.99
0.35,Ideal,D,VS1,61.2,56,1035,4.54,4.58,2.79
0.96,Premium,E,SI2,62.8,60,3016,6.3,6.24,3.94
1.04,Ideal,F,SI2,62.1,57,4754,6.48,6.46,4.02
1.01,Good,H,SI1,63.4,59,4749,6.28,6.34,4
0.74,Ideal,G,VS1,61.5,55,2780,5.81,5.86,3.59
0.47,Good,E,SI2,56.5,62,844,5.17,5.09,2.9
1.12,Ideal,I,SI2,62.4,57,3688,6.69,6.62,4.15
0.5,Ideal,E,SI1,60.8,57,1410,5.09,5.14,3.11
0.33,Premium,E,SI1,61.1,58,579,4.43,4.47,2.72
2.29,Premium,J,IF,61.4,60,18594,8.49,8.45,5.2
0.56,Premium,G,SI1,60.2,59,1441,5.36,5.34,3.22
0.58,Very Good,I,VVS1,63,57,1636,5.29,5.34,3.35
2.05,Premium,I,SI2,62,58,9850,8.13,8.08,5.02
1.6,Premium,G,VVS1,61.5,58,17204,7.48,7.58,4.63
1.02,Very Good,F,VVS2,60.9,56,9205,6.44,6.5,3.94
0.32,Ideal,E,SI1,61.6,54,516,4.42,4.45,2.73
2.01,Very Good,I,VS2,63.8,59,17422,7.89,7.85,5.02
0.24,Very Good,F,VVS2,62.8,58,552,3.95,3.98,2.49
1.13,Ideal,I,SI2,61.4,56,4481,6.69,6.71,4.12
0.3,Ideal,D,SI1,62.1,56,552,4.3,4.33,2.68
1.55,Premium,H,VS2,61.7,59,11428,7.44,7.4,4.58
0.21,Premium,E,SI2,61.9,56,394,3.84,3.82,2.37
0.38,Premium,E,VVS1,60.6,59,1119,4.65,4.62,2.81
0.53,Ideal,D,SI2,61.4,56,1314,5.22,5.24,3.21
1.13,Ideal,I,VS1,61.8,57,6980,6.66,6.7,4.13
0.72,Very Good,F,VS2,63.6,58,2787,5.66,5.69,3.61
0.84,Ideal,H,SI2,63,56,2628,6.04,6.02,3.8
1,Premium,F,VS2,61.9,59,6521,6.36,6.41,3.95
1.08,Ideal,G,VVS1,61.6,56,8347,6.6,6.65,4.08
1.2,Premium,F,I1,62.9,58,2360,6.86,6.79,4.29
1.2,Very Good,E,SI1,63.2,57,6373,6.75,6.69,4.25
1.01,Premium,E,SI2,60,61,4921,6.53,6.47,3.9
0.91,Good,J,VS1,64.2,60,3210,6.01,5.95,3.84
2.54,Premium,H,SI2,61.3,58,14717,8.8,8.7,5.36
1.31,Premium,H,SI2,60.8,58,6529,7.13,7.08,4.32
0.71,Very Good,H,VS1,62.8,59,2428,5.61,5.7,3.55
0.4,Premium,F,VS1,61.1,59,982,4.71,4.75,2.89
1.82,Premium,G,SI1,62.7,58,15162,7.75,7.68,4.84
1.51,Premium,H,VS2,62.9,59,11268,7.31,7.25,4.58
0.31,Premium,F,VS2,62.9,58,802,4.31,4.27,2.7
0.5,Premium,F,VVS2,61.9,58,2160,5.1,5.07,3.15
0.35,Premium,E,IF,59,61,1148,4.64,4.62,2.73
0.31,Ideal,E,VVS1,61.7,56,853,4.38,4.4,2.71
0.32,Good,F,VS2,63.4,57,645,4.32,4.36,2.75
0.4,Premium,D,SI2,61.6,59,855,4.74,4.68,2.9
1.01,Premium,F,SI1,61.9,56,5599,6.53,6.45,4.02
2.04,Premium,H,SI2,62.8,57,13790,8.13,8.08,5.09
1.02,Very Good,E,VS2,60.3,60,6103,6.58,6.48,3.94
2.07,Very Good,H,SI2,63.3,56,15992,8.1,8.08,5.12
0.9,Good,G,SI1,63.9,60,3574,6.07,6.1,3.89
0.39,Premium,G,VS2,61.2,60,787,4.68,4.73,2.88
1.52,Very Good,H,VS2,63.3,57,10618,7.33,7.32,4.64
1.52,Ideal,F,VS1,62.2,55,16055,7.29,7.41,4.57
0.32,Premium,G,VS2,61.1,58,720,4.45,4.42,2.71
0.31,Premium,H,VS2,59.7,61,628,4.42,4.39,2.63
0.63,Ideal,E,VS1,61.5,56,2503,5.5,5.53,3.39
0.31,Premium,F,VVS1,59.2,62,997,4.41,4.34,2.59
1.2,Premium,G,VS1,58.4,61,8177,6.95,6.91,4.05
1.06,Premium,F,SI1,58.4,61,5535,6.73,6.69,3.92
1,Good,E,VVS2,65.3,56,7226,6.19,6.24,4.06
1.01,Premium,F,I1,61.8,60,2781,6.39,6.36,3.94
1.01,Good,G,VS1,59.2,63,6407,6.5,6.48,3.84
0.5,Fair,G,VVS2,64.9,58,1712,5,4.95,3.23
1.31,Very Good,I,SI1,62.6,59,6686,6.97,6.86,4.33
2.04,Premium,I,SI2,60.2,59,15543,8.28,8.22,4.97
1.56,Good,J,VS2,57.6,65,6966,7.6,7.62,4.38
1.51,Good,I,VVS2,63.6,58,7255,7.29,7.26,4.63
1.54,Premium,G,SI2,59.4,60,7707,7.49,7.52,4.46
0.3,Ideal,I,VVS2,62.1,56,515,4.29,4.31,2.67
0.47,Very Good,J,SI1,62.4,58,764,4.94,4.99,3.1
0.39,Premium,G,IF,59,60,1300,4.75,4.78,2.81
